order_id,customer_age,customer_tenure_days,product_category,product_price,days_since_last_purchase,previous_returns,product_rating,discount_applied,size_purchased,is_return
2117,32,214,Fashion,12.47,9,1,3.4,1,M,0
6878,26,79,Fashion,76.46,91,1,3.9,0,L,0
5447,18,103,Electronics,23.07,51,1,3.8,0,,0
448,23,269,Fashion,21.18,4,0,4.8,1,M,1
2583,34,12,Electronics,19.97,12,1,4.5,1,,0
733,39,1616,Fashion,221.8,41,0,3.6,0,L,1
5803,30,265,Fashion,10.0,3,1,3.2,0,L,0
4786,31,37,Electronics,33.87,1,0,3.1,0,,1
8101,18,371,Fashion,54.17,44,0,4.3,1,L,0
4028,31,397,Fashion,138.75,42,1,3.6,0,M,0
8662,18,861,Fashion,174.53,36,1,3.7,1,M,0
3546,38,203,Fashion,52.96,59,0,3.2,0,L,0
1652,38,30,Electronics,56.65,45,0,3.8,0,,0
6580,18,24,Fashion,72.83,0,4,3.9,0,L,1
6596,50,57,Fashion,26.24,18,0,2.9,1,S,0
4923,42,115,Home_Decor,10.0,161,0,3.1,0,,0
6599,18,11,Electronics,15.14,9,1,4.1,0,,1
3604,35,484,Fashion,35.12,29,0,3.3,0,S,0
1544,29,1163,Home_Decor,85.81,55,0,3.0,0,,0
8558,60,1122,Fashion,67.4,26,3,4.1,0,S,1
3572,50,483,Home_Decor,63.42,43,0,5.0,0,,1
9914,44,534,Fashion,10.0,5,1,4.1,1,L,1
1420,41,120,Electronics,32.35,47,0,4.5,0,,0
1079,53,1801,Fashion,43.09,42,0,5.0,0,S,0
6868,25,262,Electronics,18.59,5,0,3.9,0,,0
1070,39,642,Electronics,56.75,0,1,4.9,0,,0
5273,20,377,Fashion,79.24,20,1,4.3,0,S,0
1937,38,533,Home_Decor,13.62,4,1,3.0,0,,0
4194,18,136,Electronics,27.48,44,0,4.0,0,,0
4203,23,405,Fashion,66.78,49,0,4.4,0,M,0
9072,28,40,Electronics,80.28,48,0,4.2,0,,0
6629,27,251,Fashion,15.09,15,0,4.8,0,M,0
3368,37,289,Electronics,74.26,13,1,3.7,0,,0
2577,52,61,Fashion,81.68,20,0,4.0,0,S,0
9954,23,1030,Electronics,61.15,0,2,3.7,0,,0
1297,46,535,Home_Decor,17.15,57,1,3.6,0,,0
2053,27,346,Fashion,10.0,18,0,4.6,0,L,1
8691,41,23,Electronics,25.67,45,0,4.2,0,,0
4259,33,66,Fashion,10.0,12,0,4.2,0,L,1
3919,46,64,Electronics,27.11,83,0,2.7,1,,0
6720,45,258,Electronics,10.71,17,0,3.8,1,,0
4893,28,373,Fashion,43.99,97,1,3.5,1,M,1
5267,48,670,Fashion,10.0,83,0,4.3,0,XL,1
4937,35,6,Home_Decor,37.19,7,0,3.4,0,,0
6083,49,18,Electronics,20.43,93,1,4.4,0,,0
7636,29,14,Fashion,17.02,12,1,3.7,0,L,1
8006,41,123,Fashion,82.3,6,0,4.0,1,L,0
4067,37,715,Electronics,28.12,42,1,3.9,0,,0
5981,23,55,Electronics,10.0,136,0,4.7,1,,0
3166,18,49,Fashion,69.32,0,1,3.6,0,M,1
4713,39,466,Electronics,39.09,148,1,4.5,1,,0
4255,37,483,Fashion,16.69,9,0,3.5,1,S,1
4214,18,610,Fashion,37.33,31,1,3.5,1,M,1
6039,44,153,Fashion,20.35,3,0,4.2,0,M,0
5168,33,97,Electronics,47.85,12,0,3.6,1,,0
4221,18,106,Fashion,26.7,150,0,3.7,0,L,0
4050,39,96,Fashion,45.54,147,0,3.5,0,S,0
8096,66,509,Fashion,123.11,37,0,3.7,0,M,0
7993,54,483,Home_Decor,34.04,83,0,4.5,0,,0
8427,44,885,Electronics,40.6,104,2,4.2,1,,0
1491,28,719,Home_Decor,20.75,13,0,3.0,1,,0
2543,32,871,Fashion,12.02,126,1,4.2,1,L,0
3168,36,304,Fashion,14.87,86,0,4.0,1,M,0
1651,41,767,Fashion,19.88,23,0,4.3,0,S,0
747,37,909,Electronics,50.96,1,2,2.8,0,,0
6648,23,1317,Fashion,18.3,30,0,4.7,0,L,0
8629,42,146,Fashion,25.1,16,0,3.8,0,L,0
4123,46,319,Electronics,37.06,8,1,4.4,0,,0
2327,21,518,Fashion,25.0,52,0,3.6,0,S,0
3840,31,157,Fashion,10.0,13,2,2.5,0,S,1
3120,54,148,Fashion,36.78,3,0,3.5,0,L,0
7476,55,425,Fashion,45.0,53,1,3.9,1,S,0
748,25,224,Electronics,36.49,65,0,4.7,0,,0
9181,33,22,Fashion,10.0,49,0,3.7,0,M,0
6261,51,10,Home_Decor,12.97,14,0,3.7,1,,0
2375,48,63,Fashion,28.88,5,1,4.3,0,S,1
786,47,68,Home_Decor,60.96,55,0,5.0,0,,0
6289,52,204,Home_Decor,36.65,20,1,3.3,0,,1
7101,32,523,Electronics,54.53,30,2,3.2,0,,0
627,23,142,Home_Decor,36.85,49,0,3.1,0,,1
9345,35,310,Fashion,12.55,11,0,3.7,0,S,0
8074,25,333,Electronics,10.0,182,1,4.3,0,,0
7723,36,153,Electronics,118.2,27,0,2.8,0,,0
9112,41,8,Fashion,41.46,92,0,3.9,0,S,0
760,43,543,Fashion,27.08,53,0,4.3,0,M,0
5332,31,629,Fashion,63.1,16,0,3.2,0,XL,0
8297,58,952,Fashion,72.68,124,1,3.9,0,M,0
9507,33,551,Electronics,16.03,239,0,3.2,1,,1
8936,34,28,Electronics,20.46,11,0,3.8,0,,1
1633,27,61,Home_Decor,67.6,3,0,4.2,1,,0
2922,43,11,Fashion,27.53,13,1,3.3,0,M,0
7660,24,519,Home_Decor,70.27,18,2,4.7,1,,0
1203,36,556,Fashion,31.4,9,0,4.4,0,XL,0
2735,58,679,Fashion,37.36,22,0,4.3,0,L,1
776,18,513,Electronics,33.55,96,1,4.2,1,,0
7608,27,116,Home_Decor,14.16,59,1,3.7,0,,0
5440,34,137,Fashion,52.84,42,0,4.7,0,L,1
6128,52,317,Fashion,36.67,118,0,4.2,0,S,0
935,40,233,Fashion,77.66,57,1,4.2,0,M,0
8933,35,1143,Fashion,63.25,8,0,3.7,0,XL,0
9929,43,858,Home_Decor,12.5,4,0,4.2,0,,0
6733,36,469,Fashion,40.2,10,0,3.8,0,L,0
4740,43,245,Fashion,25.7,132,1,3.8,0,S,0
1913,42,240,Fashion,13.26,156,0,3.3,0,M,1
9968,34,186,Electronics,19.31,35,0,3.9,0,,0
9823,25,410,Electronics,40.89,30,0,4.2,0,,0
825,29,112,Home_Decor,56.08,18,0,5.0,0,,0
3332,18,859,Electronics,51.79,3,0,2.9,0,,1
1112,37,435,Electronics,18.49,11,1,3.5,0,,1
5111,29,159,Electronics,31.62,17,0,4.5,0,,0
833,22,93,Electronics,34.12,73,0,3.6,0,,0
9421,38,246,Electronics,10.0,8,0,4.6,0,,0
133,22,298,Fashion,18.15,22,1,3.2,1,L,0
1721,41,166,Home_Decor,40.84,21,0,4.5,0,,0
830,31,36,Fashion,37.76,69,0,2.9,1,M,1
5157,36,44,Electronics,15.35,13,0,5.0,0,,0
2297,40,177,Fashion,61.26,8,1,4.7,1,L,0
8571,26,132,Fashion,17.47,15,0,3.8,0,M,1
4030,44,239,Fashion,92.68,3,0,4.2,0,M,0
9849,25,155,Electronics,67.22,8,1,4.7,1,,0
3309,56,229,Fashion,17.25,41,1,4.5,1,M,1
3431,40,233,Fashion,68.85,9,0,4.2,0,M,1
4784,23,62,Fashion,11.88,1,0,4.5,0,M,0
9169,38,431,Fashion,45.2,13,0,3.9,1,M,0
3224,43,253,Fashion,25.78,0,1,4.3,1,M,0
8393,53,210,Fashion,126.05,83,1,2.9,1,L,1
5921,50,503,Electronics,10.0,75,1,4.4,0,,0
428,43,2209,Fashion,10.92,35,1,3.8,0,L,0
7237,31,33,Electronics,74.67,49,0,3.7,1,,0
5297,35,282,Fashion,42.76,82,1,4.7,0,L,0
9941,28,323,Fashion,38.01,34,0,3.9,1,L,0
1106,22,592,Fashion,35.95,1,0,3.9,0,S,0
2226,50,570,Electronics,85.51,81,0,3.0,0,,0
6229,44,378,Fashion,134.49,33,0,5.0,1,M,0
5346,55,499,Home_Decor,20.97,2,0,4.4,0,,0
7405,25,231,Fashion,12.14,27,0,3.9,0,M,0
5419,28,179,Fashion,14.08,123,2,4.8,1,L,0
6310,35,455,Electronics,95.99,21,0,3.9,1,,1
2794,23,620,Fashion,222.72,30,0,3.8,0,M,0
4226,41,646,Electronics,55.29,122,0,3.6,0,,0
8103,29,57,Fashion,15.92,36,1,4.6,1,S,1
781,37,649,Electronics,50.11,18,0,4.1,0,,0
9831,22,1111,Electronics,49.89,11,0,3.4,0,,1
9262,52,120,Fashion,117.96,24,2,3.9,0,M,0
2928,37,125,Fashion,66.33,0,0,3.7,0,L,0
4308,43,382,Electronics,12.51,44,0,4.4,0,,0
4217,57,282,Electronics,12.89,86,0,3.1,0,,0
3116,38,181,Home_Decor,13.7,45,1,5.0,0,,0
7618,52,724,Fashion,18.25,34,0,3.5,0,L,0
8717,42,292,Fashion,31.78,81,0,4.1,1,M,0
9697,36,409,Fashion,17.26,252,1,3.1,0,S,0
481,33,459,Home_Decor,73.07,12,0,3.6,0,,1
9416,24,143,Fashion,118.43,5,0,4.3,0,L,0
7808,55,599,Electronics,36.71,38,1,3.7,0,,0
1113,45,1973,Electronics,15.74,18,0,3.2,0,,0
4010,42,152,Fashion,28.13,42,1,4.6,1,S,0
8472,53,7,Electronics,10.22,35,0,3.6,1,,0
2394,27,60,Fashion,80.67,63,2,2.9,1,L,0
6995,27,1,Electronics,48.87,7,1,4.4,0,,1
7273,45,35,Electronics,92.29,43,1,4.6,0,,0
5911,41,53,Electronics,17.74,88,0,3.9,1,,0
653,31,417,Electronics,22.36,9,1,4.0,1,,0
6185,34,54,Fashion,38.19,15,0,4.7,1,M,1
5523,44,167,Fashion,57.18,45,0,3.8,0,S,0
296,26,81,Electronics,52.5,27,1,4.4,1,,0
594,39,143,Fashion,10.0,4,0,3.5,1,M,0
5053,39,841,Fashion,29.0,16,1,4.5,0,L,0
2326,43,185,Fashion,16.87,288,1,4.1,1,M,1
5723,25,65,Fashion,23.06,78,1,3.1,1,XL,0
3578,27,211,Fashion,16.97,22,0,3.0,0,S,1
4163,31,326,Home_Decor,81.47,27,1,3.7,1,,1
2016,32,42,Fashion,10.0,26,2,4.8,0,S,1
4230,35,164,Electronics,21.44,75,0,4.0,0,,0
5610,35,155,Fashion,117.3,9,0,4.2,0,S,1
1989,27,413,Home_Decor,41.08,17,1,3.7,1,,0
4416,42,857,Fashion,58.67,186,0,3.6,0,M,0
217,25,44,Home_Decor,16.37,16,0,2.6,0,,1
6126,25,1253,Electronics,52.8,230,0,3.7,1,,0
8746,26,486,Fashion,10.0,4,3,4.2,1,M,0
4122,33,1135,Fashion,26.58,30,0,4.8,0,M,0
851,27,108,Electronics,68.21,54,0,3.4,0,,0
3994,44,57,Fashion,50.97,9,0,3.4,0,M,0
878,37,414,Fashion,71.14,44,0,2.7,0,M,0
930,34,101,Fashion,11.33,65,0,4.3,1,S,0
7844,30,390,Fashion,71.05,49,0,3.7,0,M,0
7652,30,1530,Home_Decor,10.0,4,1,3.3,1,,0
8398,37,316,Home_Decor,48.52,22,0,4.0,0,,0
8455,21,263,Home_Decor,19.87,108,0,4.5,1,,0
8639,41,46,Fashion,248.94,24,0,3.5,1,L,0
218,32,32,Electronics,165.61,26,1,3.8,1,,0
7889,42,188,Electronics,110.33,194,1,3.1,1,,0
4844,33,186,Fashion,119.47,62,0,4.8,1,M,0
7518,32,97,Fashion,263.27,190,1,3.6,1,XL,0
5961,25,1354,Home_Decor,20.14,35,3,3.7,0,,0
9997,18,692,Electronics,28.68,31,1,4.2,0,,0
782,18,76,Fashion,154.82,16,0,3.4,0,XL,1
9465,41,196,Fashion,45.4,15,1,4.3,1,S,0
3582,50,17,Fashion,14.1,69,0,4.6,0,L,0
408,33,358,Electronics,27.19,6,1,4.2,1,,0
1056,26,90,Home_Decor,38.49,18,0,4.1,0,,0
1837,21,12,Home_Decor,29.5,5,1,3.9,0,,0
4205,36,5,Electronics,12.07,48,0,3.7,0,,0
7258,42,328,Fashion,24.6,9,1,3.5,1,S,0
3494,28,335,Fashion,74.61,24,0,4.3,0,XL,1
9898,31,512,Fashion,10.0,32,0,4.6,1,M,1
5778,30,56,Fashion,16.79,0,0,3.6,0,L,0
4883,24,193,Electronics,74.34,7,0,2.8,1,,0
5710,57,324,Home_Decor,64.34,81,0,4.1,0,,0
8652,41,154,Fashion,33.06,9,0,3.5,1,XL,0
4904,30,1678,Fashion,23.71,84,0,3.5,0,L,1
1639,59,57,Fashion,57.58,9,0,5.0,0,L,0
2399,37,10,Fashion,20.81,32,0,3.9,1,XS,0
8305,44,105,Fashion,59.08,87,0,4.2,0,M,0
5005,43,454,Electronics,50.88,125,1,5.0,0,,0
2425,18,222,Fashion,30.77,12,0,4.0,0,XS,0
9446,18,592,Fashion,10.0,66,0,4.2,0,S,1
1951,18,548,Fashion,10.0,37,0,4.3,0,M,0
504,41,207,Fashion,54.01,30,1,3.7,1,S,1
2085,28,273,Fashion,10.0,2,0,3.6,0,M,1
289,38,1321,Fashion,10.54,65,0,4.0,0,M,1
6286,27,428,Electronics,14.55,12,1,4.4,0,,0
4838,25,417,Fashion,237.53,12,0,4.5,1,M,0
7742,33,196,Electronics,10.0,23,1,4.3,1,,0
9836,47,781,Fashion,17.44,121,0,3.4,0,M,0
4984,33,99,Fashion,22.18,174,0,3.7,0,S,0
6430,29,341,Fashion,16.4,44,1,3.5,0,L,0
8590,32,116,Fashion,43.05,3,0,3.9,0,M,0
5156,34,205,Home_Decor,41.68,1,1,3.6,1,,0
4639,18,67,Home_Decor,26.68,0,2,3.9,0,,0
9955,38,100,Fashion,58.81,95,1,4.0,1,L,1
6536,44,16,Fashion,10.0,90,0,4.4,0,L,0
7044,18,47,Fashion,17.5,9,0,3.8,0,M,1
4931,48,665,Home_Decor,102.53,18,0,3.5,0,,1
3299,21,287,Fashion,10.42,11,2,4.4,0,L,1
2427,41,327,Fashion,14.86,15,1,3.9,0,L,0
9762,24,133,Fashion,14.5,9,0,4.2,1,M,0
1789,38,79,Electronics,20.85,6,0,4.5,1,,0
1495,53,455,Electronics,40.1,19,0,4.3,1,,1
9961,22,427,Fashion,59.41,16,2,4.4,0,XL,1
6370,29,304,Fashion,31.79,7,1,3.9,0,M,0
8747,33,6,Home_Decor,78.86,169,1,4.4,0,,1
8791,18,396,Electronics,108.84,56,0,3.5,0,,0
72,53,503,Home_Decor,13.06,31,1,4.1,0,,0
6031,18,109,Home_Decor,13.94,35,2,4.6,1,,0
1310,40,147,Home_Decor,26.42,10,0,4.8,0,,0
212,48,83,Home_Decor,12.86,2,0,4.0,1,,0
1736,18,568,Electronics,54.61,76,1,3.8,0,,1
8707,37,296,Fashion,13.65,38,0,4.1,0,L,1
241,25,563,Electronics,24.25,4,1,3.7,0,,0
2998,20,621,Electronics,120.93,48,1,5.0,1,,0
425,42,67,Fashion,119.31,32,0,3.6,0,XXL,0
5893,18,552,Fashion,31.89,94,0,5.0,0,S,0
3171,23,1035,Electronics,21.36,5,0,4.1,0,,0
3177,18,16,Fashion,72.87,69,0,4.0,1,L,0
5497,33,418,Electronics,54.63,215,1,4.8,0,,0
1592,18,31,Fashion,93.94,6,0,4.1,0,M,0
1792,36,536,Electronics,77.51,7,1,3.2,0,,0
4353,32,122,Fashion,28.02,144,0,4.1,0,L,0
6104,39,560,Fashion,38.85,93,1,2.7,1,M,0
963,37,73,Fashion,70.08,54,0,5.0,0,S,1
372,40,641,Home_Decor,15.9,2,0,4.0,1,,0
4324,22,232,Fashion,40.83,2,0,4.5,0,M,0
7570,27,765,Fashion,81.7,24,1,3.3,0,M,0
4147,39,320,Electronics,43.23,1,0,4.5,0,,0
2757,37,997,Home_Decor,12.22,12,1,3.8,1,,0
7504,36,27,Home_Decor,111.04,36,1,3.7,0,,0
919,29,1053,Fashion,95.17,26,1,4.7,1,M,0
4874,37,551,Electronics,50.83,16,0,3.5,0,,0
3022,29,854,Fashion,176.67,30,1,4.5,1,XL,1
3355,27,42,Fashion,10.0,15,0,4.3,1,M,1
7697,47,52,Fashion,45.32,29,1,5.0,0,S,1
6946,47,169,Electronics,10.0,33,0,3.9,0,,0
5128,34,9,Electronics,81.77,87,1,3.5,1,,0
8668,26,392,Fashion,31.97,44,1,3.4,0,M,0
4383,26,310,Electronics,24.6,8,0,3.6,1,,0
4765,23,334,Fashion,24.83,7,1,2.8,1,M,0
9039,44,845,Fashion,52.83,5,0,4.7,0,M,0
9584,38,16,Electronics,14.83,14,0,3.3,0,,0
3364,18,86,Home_Decor,70.36,6,0,4.2,0,,0
4512,47,652,Electronics,32.75,1,0,5.0,0,,0
4098,27,88,Fashion,46.85,8,0,3.7,1,L,0
724,43,146,Fashion,120.96,7,0,3.7,0,L,1
6548,25,50,Fashion,84.74,44,1,4.7,0,XXL,0
1226,33,976,Fashion,24.35,69,1,3.1,0,L,1
3902,33,129,Electronics,24.51,6,0,4.4,1,,0
3211,49,27,Fashion,53.29,8,1,4.7,0,S,0
2648,18,664,Fashion,50.02,20,1,4.3,0,S,1
7963,25,616,Electronics,138.25,48,0,4.4,0,,1
1779,29,819,Fashion,10.0,76,1,3.9,0,M,1
5356,45,1149,Fashion,52.46,55,0,3.5,0,M,0
2405,55,347,Home_Decor,80.18,14,0,3.7,0,,0
2979,41,604,Home_Decor,73.81,6,0,4.1,1,,0
4059,46,11,Fashion,19.92,41,1,3.5,0,M,0
5587,27,649,Fashion,22.97,55,0,3.9,1,M,1
7696,52,1669,Fashion,15.75,7,0,4.7,0,M,1
6332,18,592,Home_Decor,39.0,37,1,4.6,1,,0
3136,40,219,Electronics,73.07,32,0,3.0,1,,0
3547,43,144,Electronics,70.21,79,0,4.0,1,,0
5492,47,552,Fashion,32.12,42,1,3.3,0,L,0
6674,36,377,Home_Decor,53.87,16,1,3.4,0,,1
9218,38,209,Electronics,10.27,10,0,2.8,0,,0
1669,45,315,Fashion,178.53,11,0,4.8,0,S,0
8000,59,224,Fashion,17.89,2,1,4.0,0,XL,0
1198,41,404,Fashion,130.58,39,0,3.7,0,L,1
2613,32,1004,Electronics,14.78,13,0,4.3,0,,0
1842,18,363,Electronics,65.75,9,1,3.7,0,,1
8704,42,669,Home_Decor,15.34,0,0,4.7,1,,0
1190,23,761,Home_Decor,16.15,40,0,4.5,1,,1
6575,36,281,Electronics,125.96,55,0,4.0,1,,0
1809,18,898,Electronics,55.79,24,1,4.0,0,,0
3,42,27,Home_Decor,36.21,30,1,4.8,0,,1
8307,18,127,Electronics,19.58,12,0,3.6,0,,1
3964,44,340,Fashion,56.77,54,0,3.9,0,S,0
7381,46,264,Electronics,35.95,24,0,4.1,0,,0
2453,34,307,Fashion,194.3,49,1,3.3,0,M,1
5769,37,168,Fashion,26.99,11,1,4.0,0,L,0
9716,34,1261,Fashion,30.73,54,1,4.0,0,L,0
888,30,186,Electronics,31.26,83,2,4.6,1,,0
7673,39,1451,Fashion,16.15,34,0,3.3,0,M,0
3847,48,751,Fashion,127.06,14,0,4.7,0,M,0
5176,56,152,Electronics,20.84,56,0,4.4,0,,0
8278,44,115,Electronics,50.36,50,0,4.7,0,,1
278,27,135,Home_Decor,30.8,47,1,3.0,0,,0
4415,37,39,Fashion,60.55,35,0,3.1,0,XS,0
27,21,467,Electronics,36.45,94,1,3.6,0,,1
1170,45,650,Electronics,133.23,30,0,4.0,1,,0
4705,41,2,Fashion,60.98,3,1,4.7,0,XXL,1
1088,37,312,Fashion,29.74,57,1,2.8,0,L,0
4428,24,990,Fashion,167.91,60,0,4.2,0,XXL,0
6790,43,9,Home_Decor,10.46,10,0,4.3,0,,0
7174,42,306,Fashion,10.0,19,2,4.0,0,S,1
1999,33,57,Fashion,36.3,46,0,3.9,0,M,0
7435,29,134,Fashion,13.39,9,0,3.9,0,XS,0
9460,32,1196,Fashion,50.61,4,0,4.3,1,M,0
9918,28,403,Fashion,18.85,55,0,3.3,1,L,1
2107,24,659,Fashion,22.55,36,0,3.6,1,M,1
157,57,988,Fashion,43.04,54,2,3.7,0,S,0
6377,39,256,Fashion,13.23,75,1,5.0,0,XXL,0
9736,33,97,Fashion,20.38,106,1,3.3,1,L,0
1348,46,85,Fashion,15.47,12,0,3.8,0,L,0
4219,38,1314,Fashion,35.2,23,0,4.0,0,M,0
6783,35,176,Fashion,73.72,12,0,2.4,0,S,0
1931,20,184,Fashion,18.62,14,1,3.9,0,XL,1
8200,35,828,Fashion,62.65,43,0,3.8,0,M,0
5988,35,356,Electronics,111.98,90,2,4.0,0,,0
9844,19,165,Fashion,159.21,28,0,3.2,0,L,1
9720,27,101,Fashion,69.83,39,0,4.9,1,XXL,1
6259,22,490,Fashion,16.75,25,0,3.2,1,XXL,0
6470,27,19,Fashion,11.84,50,2,3.9,0,M,0
8728,45,60,Electronics,29.97,12,1,4.1,0,,0
5314,37,58,Fashion,10.0,22,0,4.4,0,L,1
6141,29,21,Home_Decor,24.31,106,0,4.9,0,,0
4688,23,182,Electronics,32.27,7,1,4.2,0,,0
7990,41,243,Fashion,10.0,3,0,3.8,0,L,0
7759,18,264,Home_Decor,125.04,7,2,4.6,0,,0
4638,20,22,Home_Decor,48.03,13,0,5.0,0,,0
7399,39,126,Fashion,29.76,50,0,4.0,0,L,0
6640,34,63,Electronics,25.98,121,0,3.9,0,,0
5785,33,397,Electronics,10.0,43,1,4.2,1,,0
6768,38,544,Home_Decor,13.72,3,0,4.2,1,,0
4174,23,693,Fashion,32.79,0,0,4.8,1,M,1
2011,18,189,Electronics,59.5,64,2,4.4,1,,0
5186,18,227,Electronics,50.74,29,0,3.2,0,,0
2252,53,262,Fashion,34.01,249,1,3.4,1,XS,0
3897,51,851,Fashion,61.57,17,0,3.5,0,XL,1
858,40,721,Fashion,48.57,147,1,3.7,1,L,0
164,25,69,Fashion,11.65,5,0,3.2,0,XL,1
8384,49,89,Fashion,13.87,4,0,4.6,0,XL,1
5368,31,1095,Fashion,25.49,42,1,4.7,1,XXL,0
9022,54,128,Electronics,25.35,12,0,2.2,0,,0
4599,40,126,Electronics,16.11,48,0,4.2,1,,0
842,43,327,Fashion,58.28,27,1,3.7,0,L,0
5300,38,187,Fashion,67.5,40,1,4.2,1,L,0
2060,37,268,Home_Decor,39.27,31,1,3.5,0,,0
